"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","gadm.level0.gid","gadm.level0.name","gadm.level1.gid","gadm.level1.name","gadm.level2.gid","gadm.level2.name","gadm.level3.gid","gadm.level3.name","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","recordNumber","identifier","municipality","locality","datasetName","gbifID","collectionCode","language","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","name","gadm","elevation","elevationAccuracy","otherCatalogNumbers","coordinateUncertaintyInMeters","references","http...unknown.org.nick","verbatimEventDate","verbatimLocality","taxonID","http...unknown.org.occurrenceDetails","rights","eventTime","identificationID","fieldNotes","habitat","samplingEffort","county","samplingProtocol","institutionID","preparations","verbatimElevation","nomenclaturalCode","georeferenceProtocol","endDayOfYear","startDayOfYear","collectionID","individualCount","georeferencedDate","georeferencedBy","georeferenceVerificationStatus","georeferenceRemarks","higherGeography","fieldNumber","previousIdentifications","higherClassification","georeferenceSources","nomenclaturalStatus","bibliographicCitation","dynamicProperties","identificationQualifier","vernacularName","accessRights","identificationRemarks","informationWithheld","organismID","locationID","datasetID","verbatimCoordinateSystem","http...unknown.org.recordId","reproductiveCondition","typeStatus","typifiedName","projectId","organismQuantity","organismQuantityType","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","http...rs.tdwg.org.dwc.terms.organismQuantityType","recordedByIDs.type","recordedByIDs.value","http...unknown.org.rights","http...unknown.org.language","http...unknown.org.rightsHolder","eventRemarks","taxonRemarks",".val",".equ",".zer",".cap",".cen",".otl",".gbf",".inst",".summary"
"1",2812912362,"Ziziphus joazeiro Mart.",-10.666667,-37.540556,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:12:34.375+0000","2020-11-09T12:12:48.559+0000",249,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2020-02-10T00:00:00","SOUTH_AMERICA","Sergipe",2020,1,31,"2020-01-31T00:00:00","2020-07-06T19:04:36.000+0000","2020-11-09T12:12:48.559+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.26_1","Sergipe","BRA.26.35_1","Maçambara","BRA.26.35.1_1","Macambira","WGS84","Magnoliopsida","BR","none","none","Brazil","ASE - Herbário da Universidade Federal de Sergipe","5","BRA:UFS:ASE:42283","Macambira","Cachoeira","ASE - Herbário da Universidade Federal de Sergipe",2812912362,"ASE","pt","BRA:UFS:ASE:42283","Collection","Moura, CS","42283","Universidade Federal de Sergipe","Universidade Federal de Sergipe","Árvore, 4m. Folhas simples com filotaxia alterna. Flores diminutas de coloração amarela. Presença de espinhos nos ramos.; Caatinga.","Moura, CS","Ziziphus joazeiro Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2",2350123108,"Ziziphus joazeiro Mart.",-8.128056,-39.636667,"gass84","f45c5ee0-e5ec-42e3-a80a-07318144efa4","202d5f34-ff58-4ad7-964f-c947ce18078e","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:09:16.796+0000","2020-11-09T12:11:27.771+0000",238,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2019-04-26T00:00:00","SOUTH_AMERICA","Pernambuco",2019,4,3,"2019-04-03T00:00:00","2019-07-26T14:41:07.000+0000","2020-11-09T12:11:27.771+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.116_1","Parnamirim","BRA.17.116.1_1","Icaicara","WGS84","Magnoliopsida","BR","none","none","Brazil","IPA - Herbário - IPA Dárdano de Andrade Lima","07","BRA:IPA:IPA:93071","Parnamirim","Fazenda Alexandria, próximo a barragem de Alexandria.","IPA - Herbário - IPA Dárdano de Andrade Lima",2350123108,"IPA","pt","BRA:IPA:IPA:93071","Collection","Melo, J.M.M. de","93071","IPA","Empresa Pernambucana de Pesquisa Agropecuária","Porte arbóreo-arbustivo; flores amarelo-esverdeadas; fruto amarelos.; Caatinga. Área de mata ciliar arbórea as margens do Rio Brígida.","Melo, J.M.M. de","Ziziphus joazeiro Mart.",NA,380,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",2427812694,"Ziziphus joazeiro Mart.",-9.402417,-40.5031,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:21:17.019+0000","2020-11-09T12:21:30.322+0000",234,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2019-04-20T00:00:00",NA,"Pe",2019,4,20,"2019-04-20T00:00:00","2020-10-15T12:54:03.000+0000","2020-11-09T12:21:30.322+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.123_1","Petrolina","BRA.17.123.4_1","Regiao Administrativa-Centro","WGS84","Magnoliopsida","BR","none","none","Brazil","EFC - Herbário Escola de Florestas Curitiba","469","BRA:UFPR:EFC:18105","Petrolina","Arborização da orla","EFC - Herbário Escola de Florestas Curitiba",2427812694,"EFC","pt","BRA:UFPR:EFC:18105","Collection","Souza, I.; Couto, A.C.P.","18105","Universidade Federal do Paraná","Universidade Federal do Paraná","Árvore 6 m, botões amarelo-esverdeados, flores amarelas, frutos imaturos verdes e maduros amarelados. Frutos de sabor adocicado. Espinhos na inserção do pecíolo com o ramo. __COMMOM_NAME__: Joazeiro","Souza, I.","Ziziphus joazeiro Mart.",NA,370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"4",2449424952,"Ziziphus joazeiro Mart.",-8.105278,-38.640278,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:22:49.154+0000","2020-11-09T12:27:26.473+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Pernambuco",2019,4,23,"2019-04-23T00:00:00","2020-02-14T16:38:57.000+0000","2020-11-09T12:27:26.473+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.149_1","São João do Belmonte","BRA.17.149.1_1","Bom Nome","WGS84","Magnoliopsida","BR","none","none","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","10463","BRA:UEFS:HUEFS:238252","Calumbi","Serra das Areias, base da serra.","HUEFS - Herbario da Universidade Estadual de Feira de Santana",2449424952,"HUEFS","pt","BRA:UEFS:HUEFS:238252","Collection","Fontana, A.P.","238252","UEFS","Universidade Estadual de Feira de Santana","Savana Estépica, Planossolo Nátrico Órtico",NA,"Ziziphus joazeiro Mart.",NA,589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5",2451448794,"Ziziphus joazeiro Mart.",-8.105278,-38.023611,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:38.681+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2019-04-23T00:00:00",NA,"Pernambuco",2019,4,23,"2019-04-23T00:00:00",NA,"2020-11-10T22:21:38.681+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.36_1","Calumbi","BRA.17.36.1_1","Calumbi","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","10463","urn:catalog:JBRJ:RB:1422378","Calumbi","Serra das Areias, base da serra.","RB - Rio de Janeiro Botanical Garden Herbarium Collection",2451448794,"RB",NA,"urn:catalog:JBRJ:RB:1422378","Physical Object","A.P. Fontana; P.R.A. de Souza","RB01422378","JBRJ",NA,NA,"A.P. Fontana","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 797712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6",2242875292,"Ziziphus joazeiro Mart.",-6.495888,-36.159821,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-11-08T15:17:22.361+0000","2020-11-08T17:06:54.216+0000",239,"none","HUMAN_OBSERVATION","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2019-05-07T22:00:37",NA,"Paraíba",2019,5,6,"2019-05-06T14:30:54","2020-07-28T04:03:36.000+0000","2020-11-08T17:06:54.216+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.15_1","Paraíba","BRA.15.68_1","Cuité","BRA.15.68.1_1","Cuité","WGS84","Magnoliopsida","BR","none","none","Brazil","Geikson Matheus",NA,"24677053",NA,NA,"iNaturalist research-grade observations",2242875292,"Observations",NA,"https://www.inaturalist.org/observations/24677053",NA,"Geikson Matheus","24677053","iNaturalist",NA,NA,"Víctor de Paiva","Ziziphus joazeiro Mart.",NA,NA,NA,NA,8,"https://www.inaturalist.org/observations/24677053","geikson","2019-05-06 2:30:54 PM BRT","Cuité, BR-PB, BR",601723,"https://www.inaturalist.org/observations/24677053","© Geikson Matheus some rights reserved","14:30:54Z",54260572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"8",2449425100,"Ziziphus joazeiro Mart.",-8.577778,-37.629722,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:22:49.154+0000","2020-11-09T12:27:27.069+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Pernambuco",2019,5,29,"2019-05-29T00:00:00","2020-02-14T16:38:57.000+0000","2020-11-09T12:27:27.069+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.72_1","Ibimirim","BRA.17.72.1_1","Ibimirim","WGS84","Magnoliopsida","BR","none","none","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","565","BRA:UEFS:HUEFS:252317","Ibimirim","Aldeia Quiridalho","HUEFS - Herbario da Universidade Estadual de Feira de Santana",2449425100,"HUEFS","pt","BRA:UEFS:HUEFS:252317","Collection","Souza, D.P.","252317","UEFS","Universidade Estadual de Feira de Santana","Savana Estépica, Neossolo Quartzarênico Órtico",NA,"Ziziphus joazeiro Mart.",NA,519,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"9",2449425270,"Ziziphus joazeiro Mart.",-8.405833,-37.619444,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:22:49.154+0000","2020-11-09T12:27:27.647+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Pernambuco",2019,5,28,"2019-05-28T00:00:00","2020-02-14T16:38:57.000+0000","2020-11-09T12:27:27.647+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.72_1","Ibimirim","BRA.17.72.1_1","Ibimirim","WGS84","Magnoliopsida","BR","none","none","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","260","BRA:UEFS:HUEFS:252255","Sertânia","Serra das Umburanas","HUEFS - Herbario da Universidade Estadual de Feira de Santana",2449425270,"HUEFS","pt","BRA:UEFS:HUEFS:252255","Collection","Santos, J.M.","252255","UEFS","Universidade Estadual de Feira de Santana","Savana Estépica, Planossolo Háplico Eutrófico",NA,"Ziziphus joazeiro Mart.",NA,599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"10",2449425342,"Ziziphus joazeiro Mart.",-8.605833,-37.623611,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2020-11-09T12:22:49.154+0000","2020-11-09T12:27:31.128+0000",230,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM",NA,NA,"Pernambuco",2019,5,2,"2019-05-02T00:00:00","2020-02-14T16:38:57.000+0000","2020-11-09T12:27:31.128+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.72_1","Ibimirim","BRA.17.72.1_1","Ibimirim","WGS84","Magnoliopsida","BR","none","none","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","508","BRA:UEFS:HUEFS:252246","Inajá","Serra do Piriquito","HUEFS - Herbario da Universidade Estadual de Feira de Santana",2449425342,"HUEFS","pt","BRA:UEFS:HUEFS:252246","Collection","Souza, D.P.","252246","UEFS","Universidade Estadual de Feira de Santana","Savana Estépica, Luvissolo Crômico Órtico",NA,"Ziziphus joazeiro Mart.",NA,869,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"11",2512708199,"Ziziphus joazeiro Mart.",-8.577778,-37.413056,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2020-11-10T22:12:47.678+0000","2020-11-10T22:21:38.705+0000",321,"none","PRESERVED_SPECIMEN","PRESENT",3876019,6,7707728,220,691,2407,7273809,8910944,8910944,"Sarcomphalus joazeiro (Mart.) Hauenschild","Plantae","Tracheophyta","Rosales","Rhamnaceae","Sarcomphalus","Sarcomphalus joazeiro","Ziziphus","joazeiro","SPECIES","SYNONYM","2019-05-13T03:35:06",NA,"Pernambuco",2019,5,29,"2019-05-29T00:00:00",NA,"2020-11-10T22:21:38.705+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","BRA","Brazil","BRA.17_1","Pernambuco","BRA.17.72_1","Ibimirim","BRA.17.72.2_1","Moxoto","WGS84","Magnoliopsida","BR","none","none","Brazil","Rio de Janeiro Botanical Garden","565","urn:catalog:JBRJ:RB:1424258","Ibimirim","Aldeia Quiridalho.","RB - Rio de Janeiro Botanical Garden Herbarium Collection",2512708199,"RB",NA,"urn:catalog:JBRJ:RB:1424258","Physical Object","D.P. Souza; J.R. Silva","RB01424258","JBRJ",NA,NA,"D.P. Souza","Ziziphus joazeiro Mart.",NA,NA,NA,"RB 799576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nativa; Savana estépica; Neossolo quartzarênico órtico; Caatinga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
